hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::45fecd755f5c,S1,45fecd755f5c,527,-0.019764618962660963,0.05484715067431062,-0.36035817211409565,170,1.3256716907650048,0.6407103489332742,0.7185793021334517
S1::e1a7dba4ea11,S1,e1a7dba4ea11,10423,-0.003232341074496325,0.014596769319380124,-0.22144222490416063,181,1.3374218255281323,0.5876259411656324,0.8247481176687352
S1::3b8e5177cd2e,S1,3b8e5177cd2e,12191,0.07386362339284654,0.011521874351811316,6.410729811615649,181,1.2985667659039377,7.241229837973151e-11,1.4482459675946302e-10
S1::38ceffefe9ee,S1,38ceffefe9ee,9927,0.007422542901909757,0.017374794642712518,0.4272017629297842,181,1.583379013220925,0.3346161886951109,0.6692323773902218
S1::2d482beb3f60,S1,2d482beb3f60,11658,0.09042450376502004,0.014134990888784988,6.397209908126989,181,1.52595445233147,7.912093202833148e-11,1.5824186405666296e-10
S1::2b6086a9604f,S1,2b6086a9604f,11367,-0.019131032027024632,0.015235986423587264,-1.2556477470606915,181,1.4745135193594756,0.895378144037856,0.20924371192428826
S1::1493b5673d3a,S1,1493b5673d3a,13324,0.07447060758113969,0.015036821348345443,4.952549867817241,181,1.6145119739318439,3.66236385218599e-07,7.32472770437198e-07
S1::209c968b015f,S1,209c968b015f,11051,0.05006417526318136,0.02582226970114015,1.9387984031849392,181,2.3715887126723634,0.026262945325326137,0.052525890650652274
S1::02cfb13da7ab,S1,02cfb13da7ab,12903,0.1644374733187497,0.02653571983517599,6.196834845262795,181,2.8867636065687363,2.8804947316274365e-10,5.760989463254873e-10
S1::8eb7278a8ece,S1,8eb7278a8ece,8835,0.0063689650136660465,0.015522965774857034,0.4102930526318644,181,1.3046190651400613,0.34079549389943176,0.6815909877988635
S1::f7fcb5c2fdce,S1,f7fcb5c2fdce,9920,0.006325235664443821,0.014883896361611254,0.4249717621494567,181,1.3006365437820937,0.3354286298988689,0.6708572597977378
S1::ae0653cce908,S1,ae0653cce908,8486,0.012922323035085356,0.0179960947992191,0.718062622988966,181,1.5280119105731795,0.2363593375333939,0.4727186750667878
S1::41ecd5d97a30,S1,41ecd5d97a30,9500,0.015912268275242312,0.01734934421408014,0.9171682848005547,181,1.5220318938356312,0.17952723162223072,0.35905446324446144
S1::0ddb057b448a,S1,0ddb057b448a,10579,-0.029803515326504576,0.012161437384761293,-2.4506573017305855,181,1.1085830804457006,0.9928702178977611,0.014259564204477826
S1::b98bd3d0c6ec,S1,b98bd3d0c6ec,11992,-0.026607366764773974,0.011581237873916054,-2.297454473731228,181,1.1110088865487877,0.9892035713418613,0.02159285731627736
S1::6340c7446cdf,S1,6340c7446cdf,10020,0.01551064865573765,0.020170880281579342,0.7689624071539626,181,1.7378763372313022,0.22095781385182955,0.4419156277036591
S1::23956455a5c1,S1,23956455a5c1,11459,0.013231707774850875,0.01902650054066436,0.6954357027752649,181,1.7267657636561002,0.24339114624517943,0.48678229249035887
S1::6ff105b986e7,S1,6ff105b986e7,2024,0.0007969952335017647,0.027670706548119865,0.02880285084574098,181,1.302931347173581,0.48851091358925336,0.9770218271785067
S1::464a8d60bffb,S1,464a8d60bffb,2665,0.00829439871801259,0.023942990325019356,0.3464228404814295,181,1.288659614112535,0.3645124811688485,0.729024962337697
S1::d0abcfae464f,S1,d0abcfae464f,1993,0.01276430841901357,0.03367698086318501,0.3790217558655103,181,1.5174806591624486,0.3523358541159527,0.7046717082319054
S1::8c295585d0bf,S1,8c295585d0bf,2629,0.023353373340931037,0.02961791969527662,0.7884879688108333,181,1.503298794750853,0.21520566662042107,0.43041133324084213
S1::ec75b05fca7a,S1,ec75b05fca7a,2106,-0.03820914115386412,0.017118670097014867,-2.23201574288922,181,0.8376436870373376,0.9871930387660913,0.02561392246781735
S1::3c1cf76c3397,S1,3c1cf76c3397,2780,0.012576234263750406,0.02801529755971294,0.44890596778224146,181,1.4585829173329956,0.32674974542878654,0.6534994908575731
S1::9fb39349c6c8,S1,9fb39349c6c8,2091,0.013091461917955557,0.03833546007673255,0.3414974514914282,181,1.6687388697338876,0.3663645615521738,0.7327291231043476
S1::edebeb1759cd,S1,edebeb1759cd,2752,0.11361193032639441,0.0649911403106296,1.74811412422337,181,3.2989639617272006,0.04022213386008522,0.08044426772017044
