sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,46787,-1,1.8670474377280635,2.6306520704426437,-0.4297953355545514,2013,7,4,0,1,AS,1.2767857142856818,0.152,lo,True,TREND_DOWN,0.19629304755729887,-0.9668811188811635,ALIGN
HTF_PBK_TREND,46819,-1,1.9516752205755143,2.092382215558522,-0.9238798223862423,2013,7,4,8,17,LN,2.508535714285683,0.55,md,False,TREND_DOWN,-0.04082109306067008,-3.311294295192137,ALIGN
HTF_PBK_TREND,46964,-1,1.6221821460775212,2.2759242560868245,-0.14111812443648486,2013,7,0,22,45,LT,0.6379285714285905,0.0025,lo,False,TREND_DOWN,0.8908901070216642,-1.367707983428381,ALIGN
HTF_PBK_TREND,52254,-1,-1.0681467024477538,0.26917134260392905,-1.4567780759535158,2013,9,3,2,5,AS,1.551892857142905,0.2075,lo,True,TREND_DOWN,0.6433555049072114,-1.1492417094330012,ALIGN
HTF_PBK_TREND,52697,-1,1.7780132450330912,2.623311258278464,-0.5393377483443178,2013,10,2,20,41,LT,1.25692857142857,0.24,lo,False,TREND_DOWN,0.8243200694859165,-0.7323407398988052,ALIGN
HTF_PBK_TREND,52919,-1,1.7391033623910328,2.5759651307597666,-0.40379825653799184,2013,10,0,6,13,AS,0.8931428571428667,0.0075,lo,False,TREND_DOWN,0.3793271700051403,-0.2787907869482001,ALIGN
HTF_PBK_TREND,53032,-1,-1.06089673715573,0.33013589128694687,-1.4892086330935241,2013,10,1,11,23,LN,2.3483571428572043,0.549,md,True,TREND_DOWN,0.2927422667382826,-1.623475377923734,ALIGN
HTF_PBK_TREND,53109,-1,-1.1944766767231494,0.23717799953595975,-2.1397075887677772,2013,10,2,7,15,AS,1.1505714285714248,0.083,lo,True,TREND_DOWN,0.11353772438456962,-0.25943630494153724,ALIGN
HTF_PBK_TREND,56875,-1,1.791749502982125,2.7278827037770697,-0.7378230616301686,2013,12,3,6,13,AS,1.2680714285714234,0.3615,md,True,TREND_DOWN,0.666525180394996,-0.14707373401680515,ALIGN
HTF_PBK_TREND,60259,1,-1.1231809495810692,0.00029398794648724687,-1.1203880640893684,2014,1,2,6,13,AS,0.8957142857142831,0.0775,lo,False,TREND_UP,0.5612691042754874,2.595135566188142,ALIGN
HTF_PBK_TREND,60812,1,1.8491449144914571,2.1362736273625766,-0.26624662466250076,2014,2,3,5,11,AS,0.7261785714285419,0.048,lo,True,TREND_UP,0.24797042949794318,2.327251266414373,ALIGN
HTF_PBK_TREND,62535,1,-1.1762355415352221,0.13186119873815738,-1.406940063091462,2014,3,1,23,47,LT,0.923535714285744,0.2285,lo,False,TREND_UP,0.23757243061909847,0.4174175335474013,ALIGN
HTF_PBK_TREND,62547,1,-1.1160182749550056,0.4218468780285261,-1.0933130278277698,2014,3,2,2,5,AS,1.2784285714285326,0.376,md,False,TREND_UP,0.2643259193136518,0.20845904570339846,ALIGN
HTF_PBK_TREND,62583,1,0.2964525707141992,1.8801375214877576,-0.521956555711862,2014,3,2,11,23,LN,1.1956071428571704,0.415,md,False,TREND_UP,0.4841471147749034,0.7653015503180808,ALIGN
HTF_PBK_TREND,62636,1,-1.1454356126344976,0.19264144394301277,-1.3536966331134936,2014,3,3,1,3,AS,0.8449999999999948,0.062,lo,False,TREND_UP,0.620835594139995,1.6763313609468056,ALIGN
